language,census,population
Assamese,1971,8959558
Assamese,1991,13079696
Assamese,2001,13168484
Assamese,2011,15311351
Bengali,1971,44792312
Bengali,1981,51298319
Bengali,1991,69595738
Bengali,2001,83369769
Bengali,2011,97237669
Bodo,1971,556576
Bodo,1991,1221881
Bodo,2001,1350478
Bodo,2011,1482929
Dogri,1971,1299143
Dogri,1981,1530616
Dogri,2001,2282589
Dogri,2011,2596767
Gujarati,1971,25865012
Gujarati,1981,33063267
Gujarati,1991,40695370
Gujarati,2001,46091617
Gujarati,2011,55492554
Hindi,1971,202767971
Hindi,1981,257749009
Hindi,1991,329505193
Hindi,2001,422048642
Hindi,2011,528347193
Kannada,1971,21710649
Kannada,1981,25697146
Kannada,1991,32753676
Kannada,2001,37681520
Kannada,2011,43706512
Kashmiri,1971,2495487
Kashmiri,1981,3176975
Kashmiri,2001,5527698
Kashmiri,2011,6797587
Konkani,1971,1508432
Konkani,1981,1570108
Konkani,1991,1760607
Konkani,2001,2489015
Konkani,2011,2256502
Maithili,1971,6130026
Maithili,1981,7522265
Maithili,1991,7766921
Maithili,2001,12179122
Maithili,2011,13583464
Malayalam,1971,21938760
Malayalam,1981,25700705
Malayalam,1991,30377176
Malayalam,2001,33066392
Malayalam,2011,34838819
Manipuri,1971,791714
Manipuri,1981,901407
Manipuri,1991,1270216
Manipuri,2001,1466705
Manipuri,2011,1761079
Marathi,1971,41765190
Marathi,1981,49452922
Marathi,1991,62481681
Marathi,2001,71936894
Marathi,2011,83026680
Nepali,1971,1419835
Nepali,1981,1360636
Nepali,1991,2076645
Nepali,2001,2871749
Nepali,2011,2926168
Odia,1971,19863198
Odia,1981,23021528
Odia,1991,28061313
Odia,2001,33017446
Odia,2011,37521324
Punjabi,1971,14108443
Punjabi,1981,19611199
Punjabi,1991,23378744
Punjabi,2001,29102477
Punjabi,2011,33124726
Sanskrit,1971,2212
Sanskrit,1981,6106
Sanskrit,1991,49736
Sanskrit,2001,14135
Sanskrit,2011,24821
Santali,1971,3786899
Santali,1981,4332511
Santali,1991,5216325
Santali,2001,6469600
Santali,2011,7368192
Sindhi,1971,1676875
Sindhi,1981,2044389
Sindhi,1991,2122848
Sindhi,2001,2535485
Sindhi,2011,2772264
Tamil,1971,37690106
Tamil,1991,53006368
Tamil,2001,60793814
Tamil,2011,69026881
Telugu,1971,44756923
Telugu,1981,50624611
Telugu,1991,66017615
Telugu,2001,74002856
Telugu,2011,81127740
Urdu,1971,28620895
Urdu,1981,34941435
Urdu,1991,43406932
Urdu,2001,51536111
Urdu,2011,50772631
